,,1. Основная архитектура и окружение,,,,,,
,,,,,,,,
Column 9,Column 8,ID,Задача,Описание,Зависимости,Приоритет,Шаги реализации,Примечания
FALSE,0,A-1,Выбрать стек (Frontend + Backend),"Принять решение о технологиях: (React/Angular/Vue, Node/Python/Go), фреймворках, менеджерах состояния",Нет,Высокий,"1) Анализ требований;
2) Сравнение фреймворков и библиотек;
3) Финальный выбор и настройка репозитория",Можно использовать TypeScript + Node
FALSE,0,A-2,Настроить окружение разработки,"Структура проекта, линтер, форматтер, базовый CI, тестовая сборка",A-1,Высокий,"1) Инициализировать Git-репозиторий;
2) Настроить CI (GitHub Actions / GitLab CI);
3) Установить линтеры, Husky, Prettier и т.д.",
FALSE,0,A-3,Создать MVP-сервер (API),Базовый сервер с REST-эндпоинтами (FastAPI/Express),"A-1, A-2",Высокий,"1) Создать структуру каталогов;
2) Подключить нужные библ. (Flask/FastAPI или Express);
3) Тестовый эндпоинт «/healthcheck»",
FALSE,0,A-4,Подключить базу (или JSON-файлы),"Для хранения конфигураций, списка проектов, сцен, настроек","A-1, A-2",Средний,"1) Выбор решения (SQLite, Postgres, JSON);
2) Миграции/схема;
3) Интерфейсы для чтения/записи",Возможен вариант без БД (JSON)
FALSE,0,A-5,Развернуть тестовое окружение,"Среда для прогона интеграционных тестов, моков и UI-скриншотов","A-1, A-2",Средний,"1) Подготовить docker-compose или локальный setup;
2) Настроить автоматический запуск тестов",
,,,,,,,,
,,,,,,,,
,,2. Frontend: канва и таймлиния,,,,,,
,,,,,,,,
Column 9,Column 8,ID,Задача,Описание,Зависимости,Приоритет,Шаги реализации,Примечания
FALSE,0,F-1,Базовый интерфейс (SPA),"Создать каркас приложения (Router, Layout, Header/Footer)","A-1, A-2",Высокий,"1) Инициализировать SPA (Create React App / Vite / Nuxt);
2) Добавить шапку с логотипом;
3) Подготовить контейнеры для холста и боковой панели",
FALSE,0,F-2,Отобразить центральный блок (initial node),"Отдельный блок, куда вставляется исходный текст/запрос",F-1,Высокий,"1) Создать компонент «InitialNode»;
2) Реализовать вставку текста, кнопку «Генерировать»;
3) Связать с API (при нажатии отправляется POST /split_scenario)",
FALSE,0,F-3,Реализовать канву (Canvas),"Использовать библиотеку (Konva, D3, GoJS или аналоги) для отрисовки связанного графа (центральный блок + узлы сцен)","F-1, F-2",Высокий,"1) Подключить библиотеку (например, Konva.js);
2) Создать базовый слой (stage, layer);
3) Прорисовать узлы и линии;
4) Добавить события drag-and-drop",
FALSE,0,F-4,Упорядочивание и перетаскивание узлов,Поддержка ручного изменения положения сцен; линии связываются автоматически,F-3,Средний,"1) Включить drag-and-drop для узлов;
2) Следить за позициями в состоянии (Redux/Zustand);
3) Перерисовывать связи при перемещении",
FALSE,0,F-5,Таймлиния внизу,Горизонтальная полоса времени + метки сцен; синхронизация с канвой (при выборе сцены подсвечивается узел),F-3,Средний,"1) Создать компонент Timeline;
2) Отображать «сегменты» сцен на шкале;
3) При наведении (hover) подсветка сцены на канве и наоборот;
4) Реализовать drag для изменения длительности","Могут быть проблемы при большом числе сцен, нужны механизмы зума или прокрутки"
FALSE,0,F-6,Боковая панель редактирования,"Панель (выезжающая справа), где редактируются названия, описания, таймкоды, стиль сцены","F-3, F-5",Высокий,"1) Создать «SceneEditor» компонент;
2) Подвязать к событию «клик по узлу»;
3) Разместить поля: Заголовок, Стиль, Описание, кнопки («Сохранить», «Перегенерировать»)",
FALSE,0,F-7,Управление zoom/pan,Кнопки «+» и «-» в углу канвы + режим «рука» для панорамирования,F-3,Средний,"1) Реализовать методы масштабирования Konva (stage.scaleX/Y);
2) Подключить события колеса мыши / нажатия кнопок;
3) Включить «драг-холст» с зажатой клавишей",
FALSE,0,F-8,"Подсказки/инструкции (tooltips, onboarding)","Короткие всплывающие подсказки при наведении на кнопки («Regenerate Scene», «Add Node» и т.д.)","F-3, F-6",Низкий,"1) Добавить библиотеку для всплывающих подсказок (Tippy.js и пр.);
2) Небольшой гайд-тур при первом входе (react-joyride)","Можно добавить позже, чтобы не усложнять MVP"
FALSE,0,F-9,"Режим ""минимум""","Скрытие части UI (например, таймлинии и боковой панели), оставляя лишь канву",F-6,Низкий,"1) Кнопка «Minimize UI»;
2) Устанавливать флаг в состоянии, скрывать/показывать элементы",Удобно для проектов с большим числом узлов
FALSE,0,F-10,Поиск и фильтры,"Строка поиска по названиям сцен, фильтр по тегам (например «Диалоги», «Экшн»)","F-3, F-6",Средний,"1) Ввести поле «tags» у сцен;
2) Реализовать поиск (fuse.js / встроенный);
3) Подсвечивать на канве только подходящие узлы",
,,,,,,,,
,,3. Функционал LLM и работа с текстом,,,,,,
,,,,,,,,
Column 9,Column 8,ID,Задача,Описание,Зависимости,Приоритет,Шаги реализации,Примечания
FALSE,0,L-1,Разбиение текста на сцены (/split_scenario),"Отправка длинного текста ЛЛМ, получение структуры: список сцен (title, timecodes, описание)",A-3,Высокий,"1) Написать эндпоинт на бэке «POST /split_scenario»;
2) Вызов LLM с промптом (правила разбивки, лимит токенов);
3) Возврат JSON массива сцен",Нужно учитывать механизм чанков (sliding window)
FALSE,0,L-2,Корректировка сцены (/refine_scene),"Пользователь правит сцену или пишет комментарий, бэк отправляет апдейт ЛЛМ","A-3, L-1",Высокий,"1) Написать эндпоинт «POST /refine_scene»;
2) Сообщать ЛЛМ новое правило (напр. «Без крупного плана до конца»);
3) Возвращать обновлённую (или ту же) структуру","Выборочно обновляем сцены, учитывая контекст"
FALSE,0,L-3,Промптивизация (формирование prompts),Конвертация зафиксированного сценария в детализированные prompts для генеративных моделей,"A-3, L-1, L-2",Высокий,"1) Эндпоинт «POST /prompts_generate»;
2) Учёт библиотеки персонажей/локаций;
3) Подготовка финального текста (стиль, композиция, lighting, etc.)",
FALSE,0,L-4,Обработка больших текстов,"Механизм чанкинга >10k токенов (sliding window, синтез результатов)",L-1,Средний,"1) Определить максимально доступный контекст;
2) Разбивать текст на куски, передав их LLM;
3) Объединять результаты в общую структуру",Может потребоваться продуманный алгоритм «smart chunking»
FALSE,0,L-5,Автосохранение с учётом LLM,"При больших паузах или при изменениях — сохранить черновик, чтобы не вызывать повторную генерацию","L-1, L-2",Средний,"1) Локальный кэш результатов (IndexedDB или база);
2) Проверять, не менялся ли исходный текст;",Экономит токены и время работы LLM
FALSE,0,L-6,Настройка стиля (глобальные настройки),"Можно задать «реалистичный», «фэнтези», «научпоп» и т.д. Глобальные параметры влияют на все генерации","L-1, L-2",Средний,"1) UI для выбора стиля;
2) Прокидывать стиль в промпт для /split_scenario и /refine_scene;
3) Хранить текущее значение стиля в глобальном состоянии",
FALSE,0,L-7,Проверка консистентности персонажей,"Если персонаж меняет внешность в разных сценах, система предлагает исправить",L-3,Низкий,"1) При промптивизации сопоставлять атрибуты персонажа;
2) Если противоречие — выдавать предупреждение: «В сцене Х указан другой цвет волос»","Механика может быть сложной, требует корректного алгоритма"
,,,,,,,,
,,4. Библиотека персонажей и окружений,,,,,,
,,,,,,,,
Column 9,Column 8,ID,Задача,Описание,Зависимости,Приоритет,Шаги реализации,Примечания
FALSE,0,B-1,Создать структуру Character & Setting Bible,"Файл JSON / таблица в БД, где хранится описание персонажей, локаций, реквизита","A-4, L-3",Средний,"1) Спроектировать схему (name, appearance, traits, etc.);
2) CRUD-эндпоинты (/characters, /locations);
3) UI для просмотра/редактирования",Можно хранить в JSON или rеляционной БД
FALSE,0,B-2,Форма добавления/редактирования персонажа,"UI, позволяющий быстро создать персонажа: «Имя», «Возраст», «Внешность»",B-1,Средний,"1) Компонент «CharacterEditor»;
2) Поля + валидация;
3) Сохранение и обновление в базе",
